,filename,nodes,n,c,time
0,gnp_uniform_mpg_4_1_0.edgelist.gz,4,4,1,0.0012428889986040303
1,gnp_uniform_mpg_4_1_1.edgelist.gz,4,4,1,0.0017606900000828318
2,gnp_uniform_mpg_4_1_2.edgelist.gz,4,4,1,0.0009072329994523898
3,gnp_uniform_mpg_4_1_3.edgelist.gz,4,4,1,0.002140066000720253
4,gnp_uniform_mpg_4_1_4.edgelist.gz,4,4,1,0.001606619998710812
5,gnp_uniform_mpg_4_1_5.edgelist.gz,4,4,1,0.000998794001134229
6,gnp_uniform_mpg_4_1_6.edgelist.gz,4,4,1,0.0009327249990747077
7,gnp_uniform_mpg_4_1_7.edgelist.gz,4,4,1,0.001916364999487996
8,gnp_uniform_mpg_4_1_8.edgelist.gz,4,4,1,0.002081888000248
9,gnp_uniform_mpg_4_1_9.edgelist.gz,4,4,1,0.0018178890004492132
10,gnp_uniform_mpg_4_3_0.edgelist.gz,4,4,3,0.0032677170001988998
11,gnp_uniform_mpg_4_3_1.edgelist.gz,4,4,3,0.0018051780007226625
12,gnp_uniform_mpg_4_3_2.edgelist.gz,4,4,3,0.0019546380008250708
13,gnp_uniform_mpg_4_3_3.edgelist.gz,4,4,3,0.002325212999494397
14,gnp_uniform_mpg_4_3_4.edgelist.gz,4,4,3,0.005064373999630334
15,gnp_uniform_mpg_4_3_5.edgelist.gz,4,4,3,0.008843813999192207
16,gnp_uniform_mpg_4_3_6.edgelist.gz,4,4,3,0.0014366270006576087
17,gnp_uniform_mpg_4_3_7.edgelist.gz,4,4,3,0.0016745760003686883
18,gnp_uniform_mpg_4_3_8.edgelist.gz,4,4,3,0.0016910579997784225
19,gnp_uniform_mpg_4_3_9.edgelist.gz,4,4,3,0.0019195069999113912
20,gnp_uniform_mpg_4_5_0.edgelist.gz,4,4,5,0.006857189999209368
21,gnp_uniform_mpg_4_5_1.edgelist.gz,4,4,5,0.010345254999265308
22,gnp_uniform_mpg_4_5_2.edgelist.gz,4,4,5,0.0027115729990327964
23,gnp_uniform_mpg_4_5_3.edgelist.gz,4,4,5,0.002210883998486679
24,gnp_uniform_mpg_4_5_4.edgelist.gz,4,4,5,0.0020783250001841225
25,gnp_uniform_mpg_4_5_5.edgelist.gz,4,4,5,0.0021939819998806342
26,gnp_uniform_mpg_4_5_6.edgelist.gz,4,4,5,0.002586139000413823
27,gnp_uniform_mpg_4_5_7.edgelist.gz,4,4,5,0.010224779000054696
28,gnp_uniform_mpg_4_5_8.edgelist.gz,4,4,5,0.0022349789996951586
29,gnp_uniform_mpg_4_5_9.edgelist.gz,4,4,5,0.010942394999801763
30,gnp_uniform_mpg_4_7_0.edgelist.gz,4,4,7,0.011685990999467322
31,gnp_uniform_mpg_4_7_1.edgelist.gz,4,4,7,0.00756446900049923
32,gnp_uniform_mpg_4_7_2.edgelist.gz,4,4,7,0.009174372000416042
33,gnp_uniform_mpg_4_7_3.edgelist.gz,4,4,7,0.0026552819999778876
34,gnp_uniform_mpg_4_7_4.edgelist.gz,4,4,7,0.008009564999156282
35,gnp_uniform_mpg_4_7_5.edgelist.gz,4,4,7,0.002106402000208618
36,gnp_uniform_mpg_4_7_6.edgelist.gz,4,4,7,0.00219656599983864
37,gnp_uniform_mpg_4_7_7.edgelist.gz,4,4,7,0.009030360000906512
38,gnp_uniform_mpg_4_7_8.edgelist.gz,4,4,7,0.00915013699886913
39,gnp_uniform_mpg_4_7_9.edgelist.gz,4,4,7,0.009801682999750483
40,gnp_uniform_mpg_4_9_0.edgelist.gz,4,4,9,0.008560329999454552
41,gnp_uniform_mpg_4_9_1.edgelist.gz,4,4,9,0.002080491000015172
42,gnp_uniform_mpg_4_9_2.edgelist.gz,4,4,9,0.008373017999474541
43,gnp_uniform_mpg_4_9_3.edgelist.gz,4,4,9,0.007414380999762216
44,gnp_uniform_mpg_4_9_4.edgelist.gz,4,4,9,0.0021937729998171562
45,gnp_uniform_mpg_4_9_5.edgelist.gz,4,4,9,0.008975954000561615
46,gnp_uniform_mpg_4_9_6.edgelist.gz,4,4,9,0.002416216000710847
47,gnp_uniform_mpg_4_9_7.edgelist.gz,4,4,9,0.0020634499996958766
48,gnp_uniform_mpg_4_9_8.edgelist.gz,4,4,9,0.010319901999537251
49,gnp_uniform_mpg_4_9_9.edgelist.gz,4,4,9,0.008751695000682957
50,gnp_uniform_mpg_9_1_0.edgelist.gz,9,9,1,0.006030133999956888
51,gnp_uniform_mpg_9_1_1.edgelist.gz,9,9,1,0.001956733000042732
52,gnp_uniform_mpg_9_1_2.edgelist.gz,9,9,1,0.007538768000813434
53,gnp_uniform_mpg_9_1_3.edgelist.gz,9,9,1,0.008987896000689943
54,gnp_uniform_mpg_9_1_4.edgelist.gz,9,9,1,0.0070905280008446425
55,gnp_uniform_mpg_9_1_5.edgelist.gz,9,9,1,0.005491521000294597
56,gnp_uniform_mpg_9_1_6.edgelist.gz,9,9,1,0.007124400999600766
57,gnp_uniform_mpg_9_1_7.edgelist.gz,9,9,1,0.0024776059999567224
58,gnp_uniform_mpg_9_1_8.edgelist.gz,9,9,1,0.005638536000333261
59,gnp_uniform_mpg_9_1_9.edgelist.gz,9,9,1,0.006340367999655427
60,gnp_uniform_mpg_9_3_0.edgelist.gz,9,9,3,0.0031862120013101958
61,gnp_uniform_mpg_9_3_1.edgelist.gz,9,9,3,0.02021789600075863
62,gnp_uniform_mpg_9_3_2.edgelist.gz,9,9,3,0.03108416400027636
63,gnp_uniform_mpg_9_3_3.edgelist.gz,9,9,3,0.0306795050000801
64,gnp_uniform_mpg_9_3_4.edgelist.gz,9,9,3,0.02562483899964718
65,gnp_uniform_mpg_9_3_5.edgelist.gz,9,9,3,0.040410579000308644
66,gnp_uniform_mpg_9_3_6.edgelist.gz,9,9,3,0.003952925999328727
67,gnp_uniform_mpg_9_3_7.edgelist.gz,9,9,3,0.023472482000215678
68,gnp_uniform_mpg_9_3_8.edgelist.gz,9,9,3,0.01697448400045687
69,gnp_uniform_mpg_9_3_9.edgelist.gz,9,9,3,0.008629124000435695
70,gnp_uniform_mpg_9_5_0.edgelist.gz,9,9,5,0.006644942999628256
71,gnp_uniform_mpg_9_5_1.edgelist.gz,9,9,5,0.006711362999340054
72,gnp_uniform_mpg_9_5_2.edgelist.gz,9,9,5,0.00565571700099099
73,gnp_uniform_mpg_9_5_3.edgelist.gz,9,9,5,0.0068840789990645135
74,gnp_uniform_mpg_9_5_4.edgelist.gz,9,9,5,0.07385333999991417
75,gnp_uniform_mpg_9_5_5.edgelist.gz,9,9,5,0.05220859399923938
76,gnp_uniform_mpg_9_5_6.edgelist.gz,9,9,5,0.0054293620014504995
77,gnp_uniform_mpg_9_5_7.edgelist.gz,9,9,5,0.005594326999926125
78,gnp_uniform_mpg_9_5_8.edgelist.gz,9,9,5,0.006006667001202004
79,gnp_uniform_mpg_9_5_9.edgelist.gz,9,9,5,0.005137846999787143
80,gnp_uniform_mpg_9_7_0.edgelist.gz,9,9,7,0.00866027299889538
81,gnp_uniform_mpg_9_7_1.edgelist.gz,9,9,7,0.11852763699971547
82,gnp_uniform_mpg_9_7_2.edgelist.gz,9,9,7,0.007860663999963435
83,gnp_uniform_mpg_9_7_3.edgelist.gz,9,9,7,0.008648540000649518
84,gnp_uniform_mpg_9_7_4.edgelist.gz,9,9,7,0.008721382999283378
85,gnp_uniform_mpg_9_7_5.edgelist.gz,9,9,7,0.10548428800029797
86,gnp_uniform_mpg_9_7_6.edgelist.gz,9,9,7,0.007672513000215986
87,gnp_uniform_mpg_9_7_7.edgelist.gz,9,9,7,0.008750925999265746
88,gnp_uniform_mpg_9_7_8.edgelist.gz,9,9,7,0.009025889999975334
89,gnp_uniform_mpg_9_7_9.edgelist.gz,9,9,7,0.007498259999920265
90,gnp_uniform_mpg_9_9_0.edgelist.gz,9,9,9,0.17604874900098366
91,gnp_uniform_mpg_9_9_1.edgelist.gz,9,9,9,0.17282524199981708
92,gnp_uniform_mpg_9_9_2.edgelist.gz,9,9,9,0.01060583100115764
93,gnp_uniform_mpg_9_9_3.edgelist.gz,9,9,9,0.011523191000378574
94,gnp_uniform_mpg_9_9_4.edgelist.gz,9,9,9,0.00981907300047169
95,gnp_uniform_mpg_9_9_5.edgelist.gz,9,9,9,0.010916831999566057
96,gnp_uniform_mpg_9_9_6.edgelist.gz,9,9,9,0.011344468999595847
97,gnp_uniform_mpg_9_9_7.edgelist.gz,9,9,9,0.009651804000895936
98,gnp_uniform_mpg_9_9_8.edgelist.gz,9,9,9,0.009839258000283735
99,gnp_uniform_mpg_9_9_9.edgelist.gz,9,9,9,0.1744905989999097
100,gnp_uniform_mpg_16_1_0.edgelist.gz,16,16,1,0.012335999999777414
101,gnp_uniform_mpg_16_1_1.edgelist.gz,16,16,1,0.0037853769990761066
102,gnp_uniform_mpg_16_1_2.edgelist.gz,16,16,1,0.014285608000136563
103,gnp_uniform_mpg_16_1_3.edgelist.gz,16,16,1,0.008786475000306382
104,gnp_uniform_mpg_16_1_4.edgelist.gz,16,16,1,0.019003082999915932
105,gnp_uniform_mpg_16_1_5.edgelist.gz,16,16,1,0.020336904999567196
106,gnp_uniform_mpg_16_1_6.edgelist.gz,16,16,1,0.0052992479995737085
107,gnp_uniform_mpg_16_1_7.edgelist.gz,16,16,1,0.01809452199995576
108,gnp_uniform_mpg_16_1_8.edgelist.gz,16,16,1,0.0131794680000894
109,gnp_uniform_mpg_16_1_9.edgelist.gz,16,16,1,0.01775656199970399
110,gnp_uniform_mpg_16_3_0.edgelist.gz,16,16,3,0.007226928000818589
111,gnp_uniform_mpg_16_3_1.edgelist.gz,16,16,3,0.04595615699872724
112,gnp_uniform_mpg_16_3_2.edgelist.gz,16,16,3,0.005377261000830913
113,gnp_uniform_mpg_16_3_3.edgelist.gz,16,16,3,0.007247670999277034
114,gnp_uniform_mpg_16_3_4.edgelist.gz,16,16,3,0.04454166899995471
115,gnp_uniform_mpg_16_3_5.edgelist.gz,16,16,3,0.08529090599949996
116,gnp_uniform_mpg_16_3_6.edgelist.gz,16,16,3,0.06119516400030989
117,gnp_uniform_mpg_16_3_7.edgelist.gz,16,16,3,0.007782862001477042
118,gnp_uniform_mpg_16_3_8.edgelist.gz,16,16,3,0.007310527000299771
119,gnp_uniform_mpg_16_3_9.edgelist.gz,16,16,3,0.006552265000209445
120,gnp_uniform_mpg_16_5_0.edgelist.gz,16,16,5,0.013817745000778814
121,gnp_uniform_mpg_16_5_1.edgelist.gz,16,16,5,0.16127809499994328
122,gnp_uniform_mpg_16_5_2.edgelist.gz,16,16,5,0.15655545300069207
123,gnp_uniform_mpg_16_5_3.edgelist.gz,16,16,5,0.013153976999092265
124,gnp_uniform_mpg_16_5_4.edgelist.gz,16,16,5,0.011321001999021973
125,gnp_uniform_mpg_16_5_5.edgelist.gz,16,16,5,0.01018154799930926
126,gnp_uniform_mpg_16_5_6.edgelist.gz,16,16,5,0.01145237299897417
127,gnp_uniform_mpg_16_5_7.edgelist.gz,16,16,5,0.011769450999054243
128,gnp_uniform_mpg_16_5_8.edgelist.gz,16,16,5,0.160226361000241
129,gnp_uniform_mpg_16_5_9.edgelist.gz,16,16,5,0.01233299699924828
130,gnp_uniform_mpg_16_7_0.edgelist.gz,16,16,7,0.015809606999027892
131,gnp_uniform_mpg_16_7_1.edgelist.gz,16,16,7,0.01494211300087045
132,gnp_uniform_mpg_16_7_2.edgelist.gz,16,16,7,0.015226366000206326
133,gnp_uniform_mpg_16_7_3.edgelist.gz,16,16,7,0.014052619999347371
134,gnp_uniform_mpg_16_7_4.edgelist.gz,16,16,7,0.015153940999880433
135,gnp_uniform_mpg_16_7_5.edgelist.gz,16,16,7,0.013207894000515807
136,gnp_uniform_mpg_16_7_6.edgelist.gz,16,16,7,0.05559524999989662
137,gnp_uniform_mpg_16_7_7.edgelist.gz,16,16,7,0.017462252999393968
138,gnp_uniform_mpg_16_7_8.edgelist.gz,16,16,7,0.016703151999536203
139,gnp_uniform_mpg_16_7_9.edgelist.gz,16,16,7,0.01627139600168448
140,gnp_uniform_mpg_16_9_0.edgelist.gz,16,16,9,0.019724259998838534
141,gnp_uniform_mpg_16_9_1.edgelist.gz,16,16,9,0.021030495001468807
142,gnp_uniform_mpg_16_9_2.edgelist.gz,16,16,9,0.4945628969999234
143,gnp_uniform_mpg_16_9_3.edgelist.gz,16,16,9,0.017937100999915856
144,gnp_uniform_mpg_16_9_4.edgelist.gz,16,16,9,0.0186333450001257
145,gnp_uniform_mpg_16_9_5.edgelist.gz,16,16,9,0.019742419000976952
146,gnp_uniform_mpg_16_9_6.edgelist.gz,16,16,9,0.019953967001129058
147,gnp_uniform_mpg_16_9_7.edgelist.gz,16,16,9,0.109117411000625
148,gnp_uniform_mpg_16_9_8.edgelist.gz,16,16,9,0.02006864499890071
149,gnp_uniform_mpg_16_9_9.edgelist.gz,16,16,9,0.02060460500069894
150,gnp_uniform_mpg_25_1_0.edgelist.gz,25,25,1,0.014558965998730855
151,gnp_uniform_mpg_25_1_1.edgelist.gz,25,25,1,0.04720163000092725
152,gnp_uniform_mpg_25_1_2.edgelist.gz,25,25,1,0.04826377000063076
153,gnp_uniform_mpg_25_1_3.edgelist.gz,25,25,1,0.026168970000071567
154,gnp_uniform_mpg_25_1_4.edgelist.gz,25,25,1,0.05239953999989666
155,gnp_uniform_mpg_25_1_5.edgelist.gz,25,25,1,0.006877723000798142
156,gnp_uniform_mpg_25_1_6.edgelist.gz,25,25,1,0.006487870999990264
157,gnp_uniform_mpg_25_1_7.edgelist.gz,25,25,1,0.048861258999750135
158,gnp_uniform_mpg_25_1_8.edgelist.gz,25,25,1,0.054284265999740455
159,gnp_uniform_mpg_25_1_9.edgelist.gz,25,25,1,0.04628280199904111
160,gnp_uniform_mpg_25_3_0.edgelist.gz,25,25,3,0.1487783180000406
161,gnp_uniform_mpg_25_3_1.edgelist.gz,25,25,3,0.05943712800035428
162,gnp_uniform_mpg_25_3_2.edgelist.gz,25,25,3,0.029099564000716782
163,gnp_uniform_mpg_25_3_3.edgelist.gz,25,25,3,0.13504717700016045
164,gnp_uniform_mpg_25_3_4.edgelist.gz,25,25,3,0.22163768199970946
165,gnp_uniform_mpg_25_3_5.edgelist.gz,25,25,3,0.14091730499967525
166,gnp_uniform_mpg_25_3_6.edgelist.gz,25,25,3,0.011996153998552472
167,gnp_uniform_mpg_25_3_7.edgelist.gz,25,25,3,0.15186004800125374
168,gnp_uniform_mpg_25_3_8.edgelist.gz,25,25,3,0.16745761899983336
169,gnp_uniform_mpg_25_3_9.edgelist.gz,25,25,3,0.012121378998926957
170,gnp_uniform_mpg_25_5_0.edgelist.gz,25,25,5,0.014956639999581967
171,gnp_uniform_mpg_25_5_1.edgelist.gz,25,25,5,0.365595929999472
172,gnp_uniform_mpg_25_5_2.edgelist.gz,25,25,5,0.016983073999654152
173,gnp_uniform_mpg_25_5_3.edgelist.gz,25,25,5,0.5147865199996886
174,gnp_uniform_mpg_25_5_4.edgelist.gz,25,25,5,0.014980456000557751
175,gnp_uniform_mpg_25_5_5.edgelist.gz,25,25,5,0.15942703200016695
176,gnp_uniform_mpg_25_5_6.edgelist.gz,25,25,5,0.017641045000345912
177,gnp_uniform_mpg_25_5_7.edgelist.gz,25,25,5,0.018034040000202367
178,gnp_uniform_mpg_25_5_8.edgelist.gz,25,25,5,0.015793333999681636
179,gnp_uniform_mpg_25_5_9.edgelist.gz,25,25,5,0.01976462799939327
180,gnp_uniform_mpg_25_7_0.edgelist.gz,25,25,7,0.027632067000013194
181,gnp_uniform_mpg_25_7_1.edgelist.gz,25,25,7,0.023240401000293787
182,gnp_uniform_mpg_25_7_2.edgelist.gz,25,25,7,0.7391980730008072
183,gnp_uniform_mpg_25_7_3.edgelist.gz,25,25,7,0.025075819001358468
184,gnp_uniform_mpg_25_7_4.edgelist.gz,25,25,7,0.11800438799946278
185,gnp_uniform_mpg_25_7_5.edgelist.gz,25,25,7,0.021872637000342365
186,gnp_uniform_mpg_25_7_6.edgelist.gz,25,25,7,0.6487082799994823
187,gnp_uniform_mpg_25_7_7.edgelist.gz,25,25,7,0.02113455800099473
188,gnp_uniform_mpg_25_7_8.edgelist.gz,25,25,7,0.024460591999741155
189,gnp_uniform_mpg_25_7_9.edgelist.gz,25,25,7,0.8156011650007713
190,gnp_uniform_mpg_25_9_0.edgelist.gz,25,25,9,0.031225940998410806
191,gnp_uniform_mpg_25_9_1.edgelist.gz,25,25,9,1.1834955600006651
192,gnp_uniform_mpg_25_9_2.edgelist.gz,25,25,9,0.030026074000488734
193,gnp_uniform_mpg_25_9_3.edgelist.gz,25,25,9,0.02883263200055808
194,gnp_uniform_mpg_25_9_4.edgelist.gz,25,25,9,0.03125764799915487
195,gnp_uniform_mpg_25_9_5.edgelist.gz,25,25,9,1.3564122230000066
196,gnp_uniform_mpg_25_9_6.edgelist.gz,25,25,9,0.12270496000019193
197,gnp_uniform_mpg_25_9_7.edgelist.gz,25,25,9,0.027872249998836196
198,gnp_uniform_mpg_25_9_8.edgelist.gz,25,25,9,0.030789084999923944
199,gnp_uniform_mpg_25_9_9.edgelist.gz,25,25,9,0.029295816999365343
200,gnp_uniform_mpg_36_1_0.edgelist.gz,36,36,1,0.10729596099918126
201,gnp_uniform_mpg_36_1_1.edgelist.gz,36,36,1,0.1301745149994531
202,gnp_uniform_mpg_36_1_2.edgelist.gz,36,36,1,0.08759900800032483
203,gnp_uniform_mpg_36_1_3.edgelist.gz,36,36,1,0.05667233600070176
204,gnp_uniform_mpg_36_1_4.edgelist.gz,36,36,1,0.029438293000566773
205,gnp_uniform_mpg_36_1_5.edgelist.gz,36,36,1,0.07635064100031741
206,gnp_uniform_mpg_36_1_6.edgelist.gz,36,36,1,0.061912708999443566
207,gnp_uniform_mpg_36_1_7.edgelist.gz,36,36,1,0.0888891100003093
208,gnp_uniform_mpg_36_1_8.edgelist.gz,36,36,1,0.06174187899887329
209,gnp_uniform_mpg_36_1_9.edgelist.gz,36,36,1,0.07193348300097568
210,gnp_uniform_mpg_36_3_0.edgelist.gz,36,36,3,0.0418673910007783
211,gnp_uniform_mpg_36_3_1.edgelist.gz,36,36,3,0.34416322200013383
212,gnp_uniform_mpg_36_3_2.edgelist.gz,36,36,3,0.4020289990003221
213,gnp_uniform_mpg_36_3_3.edgelist.gz,36,36,3,0.3954733820010006
214,gnp_uniform_mpg_36_3_4.edgelist.gz,36,36,3,0.01541577399984817
215,gnp_uniform_mpg_36_3_5.edgelist.gz,36,36,3,0.17704223599866964
216,gnp_uniform_mpg_36_3_6.edgelist.gz,36,36,3,0.3509415619992069
217,gnp_uniform_mpg_36_3_7.edgelist.gz,36,36,3,0.2297237929997209
218,gnp_uniform_mpg_36_3_8.edgelist.gz,36,36,3,0.2957476179999503
219,gnp_uniform_mpg_36_3_9.edgelist.gz,36,36,3,0.39133607700023276
220,gnp_uniform_mpg_36_5_0.edgelist.gz,36,36,5,0.024032885001361137
221,gnp_uniform_mpg_36_5_1.edgelist.gz,36,36,5,0.02597131999937119
222,gnp_uniform_mpg_36_5_2.edgelist.gz,36,36,5,0.02350558599937358
223,gnp_uniform_mpg_36_5_3.edgelist.gz,36,36,5,0.026255222999679972
224,gnp_uniform_mpg_36_5_4.edgelist.gz,36,36,5,0.11791820399957942
225,gnp_uniform_mpg_36_5_5.edgelist.gz,36,36,5,0.02586125100060599
226,gnp_uniform_mpg_36_5_6.edgelist.gz,36,36,5,0.03022239699930651
